author,avg_rating,genres,language,num_pages,num_ratings,num_reviews,price,publish_date,rating_1,rating_2,rating_3,rating_4,rating_5,title
Brandon Sanderson,4.25,"Fantasy, Epic Fantasy, Fiction, High Fantasy",English,688.0,87566,6261,$9.59,2009-04-26 00:00:00,380,1596,11861,35379,38350,Warbreaker
Margaret Peterson Haddix,3.98,"Mystery, Young Adult, Fantasy, Science Fiction, Time Travel",English,320.0,35543,3703,$6.98,2008-04-22 00:00:00,507,1866,7925,12778,12467,Found
Harry Mulisch,4.17,"Literature, Dutch Literature, European Literature, Fiction",English,730.0,10619,485,$5.55,1998-02-26 00:00:00,214,499,1439,3585,4882,The Discovery of Heaven
William S. Burroughs,3.85,"Literature, Classics, Fiction",English,208.0,49233,1414,$185.25,2003-04-01 00:00:00,791,2973,12712,19271,13486,Junky
Nathanael West,3.91,"Fiction, Literature, Novels, Classics, American",English,185.0,8894,510,$231.52,1969-06-01 00:00:00,259,547,1902,3205,2981,Miss Lonelyhearts / The Day of the Locust
Marcus Luttrell,4.35,"Nonfiction, History, Biography, Military Fiction, War",English,390.0,66215,6516,$8.76,2007-06-12 00:00:00,816,1901,7455,19229,36814,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10
George Orwell,3.91,"Fiction, Fantasy, Dystopia, Science Fiction, Classics",English,144.0,2324669,45192,$5.60,1996-04-26 00:00:00,74122,148275,484290,817920,800062,Animal Farm
Angel Sefer,3.95,"Romance, Mystery, Romantic Suspense, Action, Fiction, Mystery Thriller, Thriller, Suspense, Adventure, Contemporary Romance",English,194.0,336,71,$34.39,2013-06-21 00:00:00,33,27,47,46,183,Spellbound in His Arms
John Flanagan,4.26,"Fantasy, Adventure, Fiction, Young Adult",English,304.0,53214,1548,$9.87,2009-06-25 00:00:00,532,1160,7794,18013,25715,The Sorcerer in the North
Eoin Colfer,4.0,"Fantasy, Fiction, Science Fiction, Young Adult",English,385.0,140550,1772,$12.04,2006-09-15 00:00:00,4079,6601,28251,48190,53429,The Lost Colony
Nicholas Sparks,3.92,"Romance, Womens Fiction, Adult Fiction, Contemporary, Fiction, Adult, Love, Audiobook, Chick Lit, Drama, Contemporary Romance",English,292.0,131961,10018,$12.79,2011-10-11 00:00:00,2756,9419,30116,42917,46753,The Best of Me
Riley Banks,3.92,"Romance, Fantasy, Young Adult, Paranormal, Horror, Vampires",English,377.0,143,62,$6.14,2013-04-20 00:00:00,7,15,22,38,61,Vampire Origins - Project Ichorous
Mark Bowden,4.29,"Military History, Nonfiction, History, Military, Military Fiction, War",English,386.0,48042,1416,$11.91,1999-02-10 00:00:00,305,864,6236,18003,22634,Black Hawk Down: A Story of Modern War
Wendy Mass,4.22,"Fiction, Contemporary, Young Adult, Childrens, Realistic Fiction, Middle Grade",English,221.0,25636,2660,$4.87,2005-10-19 00:00:00,247,787,4037,8699,11866,A Mango-Shaped Space
Carlos Ruiz Zafón,4.01,"Mystery, Fiction, Young Adult, Fantasy, Horror",Spanish,238.0,32812,2522,$125.00,1999-04-26 00:00:00,383,1604,6897,12260,11668,Marina
Simon W. Clark,3.93,"Mystery, Magic, Fiction, Fantasy, Thriller, Horror, Occult",English,336.0,221,95,$58.08,2013-12-21 00:00:00,26,10,23,57,105,The Book of Occult
Nalini Singh,4.24,"Romance, Fantasy, Paranormal, Angels, Urban Fantasy, Vampires, Paranormal Romance",English,323.0,44834,2023,$3.78,2010-02-02 00:00:00,387,1372,6649,15328,21098,Archangel's Kiss
Mitch Albom,3.86,"Fantasy, Inspirational, Fiction",English,224.0,90006,9491,$12.84,2012-09-04 00:00:00,1888,6528,22359,31131,28100,The Time Keeper
Jennifer L. Armentrout,4.39,"Romance, Young Adult, Fantasy, Paranormal, Mythology",English,343.0,38805,2500,$64.54,2013-04-04 00:00:00,280,851,4098,11718,21858,Apollyon
Rachel Vincent,3.88,"Romance, Young Adult, Fantasy, Paranormal, Urban Fantasy, Paranormal Romance",English,279.0,39270,2630,$5.62,2009-08-01 00:00:00,1249,2610,9107,12935,13369,My Soul to Take
Eiji Yoshikawa,4.45,"Asian Literature, Japan, Fiction, Historical Fiction, Cultural, Historical, Japanese Literature, Classics",English,970.0,12984,872,$40.00,1995-07-14 00:00:00,73,218,1266,3627,7800,Musashi
Hubert Selby Jr.,3.92,"Fiction, Literature, Novels, Classics, New York, American",English,290.0,20202,1071,$5.80,2000-04-26 00:00:00,547,1223,4200,7497,6735,Last Exit to Brooklyn
Joe Hill,4.07,"Fiction, Fantasy, Thriller, Audiobook, Horror",English,692.0,76761,9435,$23.19,2013-04-30 00:00:00,1547,3323,12760,29909,29222,NOS4A2
Maria V. Snyder,3.94,"Fantasy, Romance, Magic, Young Adult",English,441.0,49856,3635,$190.49,2008-02-26 00:00:00,675,3129,11476,17707,16869,Fire Study
Rebecca Stead,4.08,"Mystery, Fiction, Young Adult, Childrens, Science Fiction, Middle Grade, Time Travel",English,199.0,77474,10845,$5.60,2009-07-14 00:00:00,1241,3336,13838,28259,30800,When You Reach Me
Eoin Colfer,4.05,"Fantasy, Fiction, Young Adult",English,352.0,110367,2115,$35.80,2006-04-06 00:00:00,1179,3789,23550,42068,39781,The Eternity Code
Aldous Huxley,3.95,"Nonfiction, Writing, Philosophy, Classics, Essays, Psychology",English,187.0,32054,1061,$11.16,2004-05-04 00:00:00,359,1629,7585,12202,10279,The Doors of Perception & Heaven and Hell
Irène Némirovsky,3.83,"France, Fiction, Historical Fiction, Book Club, Novels, Cultural, Historical, World War II, Holocaust, War, Classics",English,431.0,55199,6090,$9.02,2007-04-10 00:00:00,1209,3906,13277,21441,15366,Suite Française
Heather Brewer,3.93,"Young Adult, Vampires, Paranormal, Fantasy",English,182.0,33246,2707,$10.98,2007-08-16 00:00:00,951,2429,7632,9377,12857,Eighth Grade Bites
Tom Robbins,3.98,"Novels, Humor, Literature, Fiction",English,366.0,29800,925,$23.95,2004-01-10 00:00:00,324,1389,6778,11359,9950,Another Roadside Attraction
Tamora Pierce,4.25,"Fantasy, Fiction, Young Adult",English,240.0,47390,1328,$8.51,2000-05-23 00:00:00,248,1134,7513,15935,22560,First Test
Walter Moers,4.23,"Humor, Fiction, Fantasy, Young Adult, European Literature, German Literature",English,704.0,16222,1218,$5.44,2006-08-29 00:00:00,292,687,2183,4973,8087,The 13½ Lives of Captain Bluebear
Patti Smith,4.13,"Music, Nonfiction, Autobiography, Art, Biography, Memoir",English,304.0,148667,9589,$36.99,2010-01-19 00:00:00,4753,7105,21314,45670,69825,Just Kids
Ira Levin,3.99,"Mystery, Fiction, Fantasy, Adult, Paranormal, Thriller, Suspense, Supernatural, Horror, Classics",English,308.0,96935,2947,$38.56,1997-09-01 00:00:00,1606,4687,21529,34734,34379,Rosemary's Baby
