author,avg_rating,genres,language,num_pages,num_ratings,num_reviews,price,publish_date,rating_1,rating_2,rating_3,rating_4,rating_5,title
Vladimir Nabokov,3.89,"Fiction, Classics, Literature",English,417.0,584124,21269,$45.99 to $50.59,1995-04-26 00:00:00,23295,41540,121974,188216,209099,Lolita
Sara Gruen,4.08,"Fiction, Romance, Historical Fiction, Historical",English,335.0,1238987,57513,$4.91,2007-05-01 00:00:00,18346,54296,220464,463699,482182,Water for Elephants
Suzanne Collins,4.33,"Teen, Post Apocalyptic, Dystopia, Romance, Fiction, Science Fiction, Action, Young Adult, Apocalyptic, Adventure, Fantasy",English,374.0,5693442,162290,$89.89,2008-10-26 00:00:00,80191,152034,662265,1716515,3082437,The Hunger Games
Homer,3.75,"Academic, Historical Fiction, Historical, School, Classics, Fiction, Literature, Poetry, Read For School, Adventure, Mythology, Fantasy",English,541.0,788559,10687,$15.00,2006-11-30 00:00:00,31985,70143,198917,250124,237390,The Odyssey
Charles Dickens,3.83,"Historical Fiction, Historical, Classics, Fiction, Literature",English,489.0,741092,15251,$21.12,2003-04-26 00:00:00,30838,59225,164709,237020,249300,A Tale of Two Cities
Yann Martel,3.9,"Contemporary, Classics, Fantasy, Fiction, Adventure",English,460.0,1186973,45288,$4.99,2006-08-29 00:00:00,42439,80044,238491,423145,402854,Life of Pi
S.E. Hinton,4.08,"Realistic Fiction, Academic, Historical Fiction, Teen, Historical, Contemporary, School, Classics, Fiction, Coming Of Age, Read For School, Young Adult",English,192.0,799396,28765,$2.98,1997-09-01 00:00:00,11871,38765,152370,265439,330951,The Outsiders
Anne Rice,3.99,"Horror, Paranormal, Vampires, Fiction, Fantasy",English,342.0,438656,9084,$5.60,2004-08-31 00:00:00,8356,24389,92725,152282,160904,Interview with the Vampire
John Irving,4.08,"Contemporary, Classics, Fiction, Literature, Novels",English,610.0,191764,5019,$11.22,1999-04-01 00:00:00,3232,8143,33314,72654,74421,The World According to Garp
Arthur Conan Doyle,4.51,"Fiction, Crime, Classics, Mystery",English,1796.0,154596,3365,$1.99,1986-10-01 00:00:00,635,1423,11954,44850,95734,The Complete Sherlock Holmes
Victor Hugo,3.99,"Historical Fiction, European Literature, Historical, Cultural, Classics, Romance, Fiction, Literature, Gothic, French Literature, Novels, France",English,510.0,153176,4008,$3.38,2001-04-10 00:00:00,2296,7670,34041,54522,54647,The Hunchback of Notre-Dame
Cassandra Clare,4.57,"Urban Fantasy, Paranormal, Romance, Young Adult, Fantasy",English,1520.0,62310,1059,$1.10,2009-10-27 00:00:00,719,1170,4461,11676,44284,The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass
Lauren Oliver,3.91,"Contemporary, Romance, Fiction, Young Adult, Fantasy",English,470.0,270870,19587,$6.00,2010-10-25 00:00:00,7521,18030,59914,91899,93506,Before I Fall
Chaim Potok,4.2,"Religion, Judaism, Historical Fiction, Historical, Classics, Fiction, Literature, Jewish",English,369.0,33599,2522,$72.95,2003-03-11 00:00:00,343,1033,5032,12366,14825,My Name Is Asher Lev
Nicholas Sparks,4.11,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction",English,326.0,307903,9834,$9.63,2009-08-11 00:00:00,3979,12550,58363,103130,129881,The Lucky One
John Grisham,3.97,"Fiction, Crime, Mystery, Thriller",English,358.0,243601,1901,$8.83,2006-04-25 00:00:00,1729,9263,59285,96885,76439,The Runaway Jury
John Fowles,3.99,"Fiction, Classics, Thriller, Horror",English,283.0,45545,2976,$5.50,1998-10-21 00:00:00,620,2144,9391,18179,15211,The Collector
Trenton Lee Stewart,4.15,"Mystery, Childrens, Middle Grade, Fiction, Young Adult, Adventure, Fantasy",English,485.0,108756,9463,$12.63,2007-03-07 00:00:00,1405,4285,18194,37050,47822,The Mysterious Benedict Society
Nicholas Sparks,4.1,"Fiction, Chick Lit, Womens Fiction, Romance",English,352.0,159115,3577,$11.60,2005-04-01 00:00:00,1777,6179,31940,53183,66036,The Rescue
Michael Crichton,3.84,"Historical Fiction, Historical, Fiction, Science Fiction, Thriller, Time Travel",English,489.0,173622,4152,$399.00,2000-06-26 00:00:00,2907,11915,45176,63015,50609,Timeline
Alice Hoffman,3.79,"Paranormal, Witches, Romance, Fiction, Magic, Magical Realism, Fantasy",English,286.0,56740,4563,$6.14,2003-08-05 00:00:00,969,3972,15884,21084,14831,Practical Magic
Jeaniene Frost,4.34,"Urban Fantasy, Paranormal Romance, Paranormal, Vampires, Romance, Fantasy",English,355.0,74242,2552,$14.35,2009-07-28 00:00:00,650,1608,9102,23609,39273,Destined for an Early Grave
Alexander Pushkin,4.09,"Russia, Cultural, Classics, Russian Literature, Fiction, Literature, Poetry",English,240.0,44857,1157,$6.45,1998-10-22 00:00:00,696,2330,8469,14042,19320,Eugene Onegin
Laurie R. King,4.07,"Fiction, Mystery, Historical, Historical Fiction",English,341.0,62556,5552,$300.00,2002-03-26 00:00:00,1265,2693,11039,22924,24635,The Beekeeper's Apprentice
Günter Grass,3.96,"European Literature, Historical Fiction, Historical, German Literature, Cultural, Classics, Germany, Fiction, Literature",English,580.0,35562,1557,$3.28,2005-04-26 00:00:00,1176,2428,6577,11912,13469,The Tin Drum
Aldous Huxley,4.17,"Fiction, Dystopia, Classics, Science Fiction",English,340.0,125297,1209,$225.00,2005-07-05 00:00:00,1393,4280,20589,45000,54035,Brave New World / Brave New World Revisited
H.P. Lovecraft,4.2,"Horror, Classics, Fiction, Science Fiction, Short Stories, Fantasy",English,352.0,5594,191,$100.00,2000-09-19 00:00:00,44,151,925,2016,2458,Tales of H.P. Lovecraft
Art Spiegelman,4.34,"Nonfiction, War, Historical, World War II, Memoir, Graphic Novels, Sequential Art, Comics, Biography, History, Autobiography, Holocaust, Graphic Novels Comics",English,159.0,224383,5655,$9.64,1991-11-01 00:00:00,3917,6052,24258,65062,125094,Maus I: A Survivor's Tale: My Father Bleeds History
Ursula Hegi,4.08,"Historical Fiction, Historical, World War II, Cultural, Germany, Fiction, War",English,525.0,88292,1931,$32.98,1995-03-01 00:00:00,1459,3941,16039,31416,35437,Stones from the River
Jennifer L. Armentrout,4.42,"Paranormal, Romance, Science Fiction, Young Adult, Aliens, Fantasy",English,374.0,77277,7113,$9.38 to $23.06,2013-08-27 00:00:00,574,1636,7977,21919,45171,Origin
Simone Elkeles,4.21,"Young Adult, Contemporary, Realistic Fiction, Romance",English,336.0,76877,3804,$6.00,2010-04-13 00:00:00,935,2953,12296,23719,36974,Rules of Attraction
Terry Pratchett,4.24,"Fiction, Humor, Fantasy",English,432.0,67215,2024,$6.84,2006-10-02 00:00:00,222,1477,10642,24786,30088,Hogfather
Neil Gaiman,4.02,"Fiction, Urban Fantasy, Mythology, Fantasy",English,387.0,173819,9081,$200.00,2006-09-26 00:00:00,1326,6106,35360,75680,55347,Anansi Boys
Brent Weeks,4.16,"Fiction, Epic Fantasy, Magic, Fantasy",English,645.0,132459,4643,$17.32,2008-10-01 00:00:00,2382,5574,19872,45763,58868,The Way of Shadows
P.D. Eastman,4.09,"Childrens, Picture Books",English,72.0,72115,1480,$49.61,1961-03-12 00:00:00,1491,4233,14775,17465,34151,"Go, Dog. Go!"
Douglas Adams,3.98,"Humor, Mystery, Science Fiction, Fiction, Fantasy",English,306.0,107420,3033,$20.09,2002-04-26 00:00:00,1109,5220,24645,40635,35811,Dirk Gently's Holistic Detective Agency
Brandon Sanderson,4.37,"Fiction, Epic Fantasy, High Fantasy, Fantasy",English,590.0,223394,11273,$6.90,2007-08-21 00:00:00,744,3333,23380,82076,113861,The Well of Ascension
Jim Butcher,4.02,"Mystery, Urban Fantasy, Paranormal, Fiction, Magic, Fantasy",English,322.0,252156,13902,$36.99,2000-04-26 00:00:00,3964,11471,52887,92165,91669,Storm Front
Gary Paulsen,3.7,"Childrens, Survival, Classics, Fiction, Young Adult, Adventure",English,208.0,266849,12642,$14.50,2000-04-01 00:00:00,13384,24788,66734,84723,77220,Hatchet
Raymond E. Feist,4.33,"Fiction, Epic Fantasy, High Fantasy, Fantasy",English,681.0,54162,1350,$2.79,2009-04-26 00:00:00,511,1555,6584,16459,29053,Magician
Jennifer L. Armentrout,4.15,"Paranormal Romance, Paranormal, Romance, Young Adult, Mythology, Fantasy",English,281.0,72384,5762,$0.70,2011-10-18 00:00:00,1849,2919,11234,22907,33475,Half-Blood
John Grisham,3.99,"Suspense, Mystery, Fiction, Crime, Thriller",English,483.0,357587,2204,$24.51,2010-03-16 00:00:00,2780,13193,84003,141267,116344,The Client
Karen Marie Moning,4.29,"Paranormal Romance, Urban Fantasy, Paranormal, Fairies, Romance, Fae, Fantasy",English,303.0,86978,4849,$3.99,2007-10-16 00:00:00,483,2005,11541,30645,42304,Bloodfever
Nevil Shute,4.14,"Historical Fiction, Historical, Cultural, Classics, Romance, Fiction, Australia, War",English,359.0,45521,3123,$9.08,2000-04-26 00:00:00,408,1342,8101,17479,18191,A Town Like Alice
Diana   Forbes,4.25,"New Adult, Young Adult, Historical Fiction, Historical, Adult, Fiction, Novels",,333.0,1715,53,$8.53,2017-03-05 00:00:00,14,16,218,753,714,Mistress Suffragette
Douglas Adams,4.2,"Science Fiction, Humor, Fiction, Fantasy",English,224.0,175962,2918,$33.75,2005-04-26 00:00:00,847,4614,30132,62879,77490,"Life, the Universe and Everything"
Robert R. McCammon,4.28,"Horror, Apocalyptic, Fiction, Science Fiction, Dystopia, Post Apocalyptic, Fantasy",English,956.0,49825,2994,$19.00,1987-06-01 00:00:00,797,1769,6519,14503,26237,Swan Song
Alyson Noel,3.61,"Young Adult, Romance, Paranormal, Fantasy",English,284.0,81943,3717,$12.99,2009-07-07 00:00:00,4157,9924,22667,22444,22751,Blue Moon
Tabitha Suzuma,4.05,"Fiction, Young Adult, Contemporary, Romance",English,418.0,48504,8662,$28.00,2010-05-27 00:00:00,1824,3116,7709,14161,21694,Forbidden
Jean M. Auel,4.0,"Historical Fiction, Historical, Romance, Fiction, Fantasy",English,544.0,67582,2146,$10.04,2002-06-25 00:00:00,791,3448,14909,24558,23876,The Valley of Horses
Philip K. Dick,3.63,"Alternate History, Classics, Science Fiction, Fiction, Dystopia",English,259.0,141194,9889,$11.99,1992-06-30 00:00:00,3797,13975,42311,51313,29798,The Man in the High Castle
Ann-Marie MacDonald,3.96,"Historical Fiction, Historical, Cultural, Fiction, Canada",English,672.0,58296,2853,$3.86,2002-10-29 00:00:00,1644,3550,11853,19926,21323,Fall on Your Knees
Frank E. Peretti,4.23,"Fiction, Christian, Christian Fiction, Fantasy",English,376.0,85092,1802,$2.10,2003-06-26 00:00:00,2195,3470,11486,23725,44216,This Present Darkness
Tim Butcher,4.11,"Nonfiction, World War I, Travel, Biography, History, War",English,352.0,1031,209,$7.01,2014-05-01 00:00:00,13,38,180,393,407,The Trigger: Hunting the Assassin Who Brought the World to War
Beth Revis,3.77,"Science Fiction, Young Adult, Dystopia, Romance",English,399.0,107027,10086,$10.51,2011-01-11 00:00:00,4100,8921,26274,35493,32239,Across the Universe
P.C. Cast,4.02,"Young Adult, Vampires, Paranormal, Fantasy",English,290.0,116017,3115,$8.33,2011-01-04 00:00:00,3167,7511,23299,31839,50201,Awakened
Anne Rice,3.74,"Horror, Paranormal, Vampires, Fiction, Fantasy",English,354.0,71716,1536,$4.99,1999-03-26 00:00:00,2412,7131,19186,20648,22339,Memnoch the Devil
Amy Tan,4.0,"Historical Fiction, Contemporary, Historical, Cultural, Asia, Fiction, China",English,416.0,68032,1998,$9.52,2006-09-21 00:00:00,400,2028,15306,29731,20567,The Kitchen God's Wife
John Bunyan,3.99,"Religion, Classics, Christianity, Fiction, Christian, Christian Fiction",English,324.0,92019,2734,$6.44,2003-02-10 00:00:00,3390,6640,17340,24898,39751,The Pilgrim's Progress
Stephen King,4.23,"Fiction, Science Fiction, Horror, Fantasy",English,463.0,189271,6799,$20.00,2003-08-05 00:00:00,1264,5030,27159,71365,84453,The Drawing of the Three
John Ajvide Lindqvist,4.07,"Horror, Paranormal, Vampires, Fiction, Fantasy",English,513.0,77560,5418,$29.99,2007-08-02 00:00:00,1663,3588,13316,28457,30536,Let the Right One In
Leigh Bardugo,4.04,"Young Adult, Romance, Fantasy",English,358.0,213631,24813,$10.19,2012-06-05 00:00:00,3496,9016,40334,83384,77401,Shadow and Bone
Mitch Albom,4.1,"Fiction, Inspirational, Contemporary",English,197.0,115356,7330,$9.99,2006-09-26 00:00:00,1006,4448,22316,42183,45403,For One More Day
Julie Kagawa,4.12,"Paranormal, Fairies, Romance, Young Adult, Fantasy",English,359.0,106025,5405,$9.33,2010-07-20 00:00:00,1758,4662,18906,34279,46420,The Iron Daughter
Herman Wouk,4.37,"Historical Fiction, Historical, World War II, Fiction, War",English,896.0,47939,1360,$28.01,2002-02-05 00:00:00,281,841,5442,15704,25671,The Winds of War
Jon Scieszka,4.2,"Fiction, Humor, Childrens, Picture Books",English,52.0,86958,2131,$16.39,1992-10-01 00:00:00,1541,3505,14174,24576,43162,The Stinky Cheese Man and Other Fairly Stupid Tales
Sarah J. Maas,4.57,"New Adult, Young Adult, Romance, Fantasy",English,704.0,133552,16399,$20.19,2016-09-06 00:00:00,1244,2311,8212,28756,93029,Empire of Storms
Rick Riordan,4.58,"Young Adult, Adventure, Mythology, Fantasy",English,1032.0,36610,544,$0.99,2008-09-16 00:00:00,311,465,2634,7387,25813,Percy Jackson and the Olympians
C.S. Lewis,4.28,"Religion, Theology, Classics, Christianity, Fiction, Christian, Fantasy",English,160.0,92674,4607,$19.63,2002-02-01 00:00:00,1439,2743,11754,29131,47607,The Great Divorce
Stephenie Meyer,3.5,"Young Adult, Vampires, Paranormal, Fantasy",English,178.0,168700,10163,$1.00,2010-06-05 00:00:00,7737,22642,53818,45963,38540,The Short Second Life of Bree Tanner
Henrik Ibsen,3.71,"Academic, School, Classics, Drama, Plays, Fiction",English,122.0,92609,3382,$5.38,2007-04-26 00:00:00,2020,7921,26798,34066,21804,A Doll's House
Vincent Bugliosi,4.02,"Horror, Nonfiction, Mystery, Crime, History, True Crime",English,689.0,110012,3206,$14.14,2001-12-17 00:00:00,1452,4585,23652,40624,39699,Helter Skelter: The True Story of the Manson Murders
James Patterson,4.15,"Science Fiction, Young Adult, Fantasy",English,405.0,84408,2641,$5.49,2007-05-29 00:00:00,1150,3600,15169,25708,38781,Saving the World and Other Extreme Sports
Jacqueline Susann,3.73,"Womens Fiction, Classics, Chick Lit, Romance, Fiction",English,442.0,44178,3008,$11.74,1997-09-22 00:00:00,1151,3944,12350,14961,11772,Valley of the Dolls
Ayn Rand,3.86,"Fiction, Classics, Literature, Philosophy",English,704.0,277034,11197,"$4,500.00",1996-09-01 00:00:00,19330,20114,47440,82799,107351,The Fountainhead
Samantha Young,4.23,"New Adult, Erotica, Contemporary, Adult, Romance, Contemporary Romance, Adult Fiction",English,372.0,156735,8660,$9.95,2012-08-31 00:00:00,2944,5718,21029,50231,76813,On Dublin Street
Patricia Briggs,4.12,"Paranormal Romance, Urban Fantasy, Paranormal, Shapeshifters, Romance, Werewolves, Fantasy",English,294.0,79034,3449,$7.80,2008-07-29 00:00:00,1098,3252,14374,26842,33468,Cry Wolf
Arthur Conan Doyle,4.15,"Mystery, Historical Fiction, Historical, Mystery Thriller, Audiobook, European Literature, Classics, 19th Century, Fiction, Crime, Detective, Literature, Thriller, British Literature",English,123.0,268605,8545,$29.00,2005-01-01 00:00:00,3206,6888,45548,102797,110166,A Study in Scarlet
Madeline Miller,4.32,"LGBT, Historical Fiction, Historical, Romance, Fiction, Mythology, Fantasy",English,352.0,118501,15910,$7.15,2011-09-20 00:00:00,1711,3426,13638,36084,63642,The Song of Achilles
Agatha Christie,4.23,"Fiction, Crime, Classics, Mystery",English,288.0,113682,7599,$118.93,2006-09-01 00:00:00,502,2436,17885,42332,50527,The Murder of Roger Ackroyd
Norman Maclean,4.18,"Fiction, Short Stories, Literature, Classics",English,217.0,20019,1289,$12.92,2001-10-01 00:00:00,229,713,3207,6981,8889,A River Runs Through it and Other Stories
Pablo Neruda,4.31,"European Literature, Spanish Literature, Classics, Romance, Poetry",English,70.0,43354,1898,$6.12,2006-12-26 00:00:00,603,1242,5293,13281,22935,Twenty Love Poems and a Song of Despair
James Patterson,4.15,"Science Fiction, Young Adult, Fantasy",English,409.0,108898,3255,$18.26,2006-05-23 00:00:00,1680,4412,19031,34299,49476,School's Out—Forever
Sebastian Faulks,4.08,"Historical Fiction, Historical, Classics, Romance, Fiction, War",English,483.0,62178,2868,$9.99,1997-06-02 00:00:00,1229,3112,10529,21635,25673,Birdsong
William Shakespeare,3.81,"Fiction, Classics, Drama, Plays",English,218.0,154963,3467,$580.82,2004-07-26 00:00:00,2805,11374,42735,53825,44224,The Tempest
Jeannette Walls,4.26,"Autobiography, Biography, Nonfiction, Memoir",English,288.0,777177,47540,$5.03,2006-01-17 00:00:00,9765,22131,98636,272398,374247,The Glass Castle
Douglas R. Hofstadter,4.3,"Mathematics, Science, Nonfiction, Philosophy",English,777.0,37811,1621,$3.73,1999-04-26 00:00:00,763,1413,4483,10323,20829,"Gödel, Escher, Bach: An Eternal Golden Braid"
Don DeLillo,3.86,"Classics, American, Fiction, Literature, Novels",English,320.0,78834,4463,$14.06,1999-06-01 00:00:00,2128,5996,17314,28515,24881,White Noise
Paula Hawkins,3.91,"Fiction, Crime, Mystery, Thriller",English,323.0,1687081,103854,$3.45,2015-01-13 00:00:00,39617,101106,365509,652798,528051,The Girl on the Train
Claudia Gray,3.64,"Teen, Paranormal Romance, Urban Fantasy, Paranormal, Vampires, Romance, Fiction, Young Adult, Supernatural, Fantasy",English,327.0,70478,3223,$10.69,2009-02-10 00:00:00,3552,7689,19122,20079,20036,Evernight
Sarah Dessen,4.01,"Fiction, Young Adult, Contemporary, Romance",English,432.0,134263,5292,$18.88,2008-04-22 00:00:00,2012,6715,29164,46349,50023,Lock and Key
James Fenimore Cooper,3.7,"Historical Fiction, Historical, Classics, American, Fiction, Literature, Novels, War, Classic Literature, Adventure",English,410.0,80695,2365,$6.44,1982-06-01 00:00:00,3297,7605,21249,26309,22235,The Last of the Mohicans
Ben Peller,4.33,Fantasy,,320.0,88,78,$4.69,2013-05-01 00:00:00,0,0,9,41,38,To Live and Die in Fantasyland
Kyle Keyes,4.34,"New Adult, Young Adult, Book Club, Contemporary, Childrens, Adult, Middle Grade, Drama, Fiction, Novels, Adventure",English,296.0,1358,15,$5.49,2017-02-12 00:00:00,10,7,101,634,606,Quantum Roots II: Worm Holes
Julie Kagawa,4.24,"Paranormal, Fairies, Romance, Young Adult, Fantasy",English,384.0,90293,4779,$15.42,2011-01-25 00:00:00,1284,3012,13630,27560,44807,The Iron Queen
E.M. Forster,3.68,"Historical Fiction, Historical, Cultural, Classics, Fiction, Literature, India",English,376.0,61117,2810,$2.98,2005-08-30 00:00:00,1841,5452,17273,22532,14019,A Passage to India
J.R. Ward,4.13,"Paranormal Romance, Paranormal, Vampires, Romance, Fantasy",English,534.0,99519,4017,$12.49,2008-06-03 00:00:00,1208,4907,18875,29668,44861,Lover Enshrined
Andrea Cremer,4.03,"Paranormal, Shapeshifters, Romance, Werewolves, Young Adult, Fantasy",English,452.0,75350,5009,$64.87,2010-10-19 00:00:00,2386,4768,13746,21727,32723,Nightshade
Ki Longfellow,4.32,"Survival, Literature, Fiction, Adventure",English,254.0,875,108,$19.42,2013-12-07 00:00:00,4,6,29,500,336,Walks Away Woman
Colleen Hoover,4.29,"New Adult, Young Adult, Contemporary, Romance",English,230.0,133913,8567,$10.57,2012-02-25 00:00:00,1428,4065,17733,42329,68358,Point of Retreat
Rachel Hawkins,3.96,"Paranormal, Vampires, Romance, Magic, Young Adult, Fantasy",English,323.0,122015,8160,$5.55,2010-03-02 00:00:00,2992,6839,26628,41665,43891,Hex Hall
William Blake,4.11,"18th Century, Classics, Fiction, Literature, Poetry",English,56.0,34710,705,$14.76,2005-01-01 00:00:00,453,1488,6440,11670,14659,Songs of Innocence and of Experience
Irvine Welsh,4.06,"Contemporary, Adult, Fiction, Thriller, Dark",English,548.0,9090,518,$10.29,2012-04-19 00:00:00,178,396,1546,3543,3427,Skagboys
Stephen King,4.25,"Fiction, Science Fiction, Horror, Fantasy",English,845.0,143838,5173,$6.84,2003-10-26 00:00:00,1221,4682,20696,47227,70012,Wizard and Glass
Peter Høeg,3.73,"Mystery, Cultural, Fiction, Crime, Thriller, Denmark",English,469.0,36696,2045,$11.12,1995-10-01 00:00:00,1097,3064,9373,14161,9001,Smilla's Sense of Snow
Lauren Weisberger,3.73,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction",English,432.0,737882,8625,$2.77,2006-05-30 00:00:00,25687,61055,203428,245954,201758,The Devil Wears Prada
Chuck Palahniuk,4.0,"Humor, Contemporary, Adult, American, Fiction, Literature, Thriller, Dark, Novels, Adult Fiction",,304.0,110286,5173,$220.00,2018-05-01 00:00:00,1833,6292,22560,38845,40756,Invisible Monsters
William Faulkner,3.94,"Fiction, Classics, Literature, American",English,507.0,48816,2270,"$1,000.00",1991-01-30 00:00:00,1345,3099,9862,17342,17168,Light in August
Augusten Burroughs,3.71,"Humor, Nonfiction, Memoir, Biography, Autobiography",English,304.0,327865,12139,$5.99,2003-06-01 00:00:00,14301,28604,82824,112984,89152,Running with Scissors
Erin Hunter,4.29,"Fiction, Young Adult, Animals, Fantasy",English,288.0,66223,5230,$3.99,2004-01-06 00:00:00,1437,2328,8463,17289,36706,Into the Wild
M.M. Kaye,4.21,"Historical Fiction, Historical, Cultural, Classics, Romance, Fiction, Adventure, India",English,958.0,37811,1206,$16.79,1997-01-15 00:00:00,363,1177,6112,12758,17401,The Far Pavilions
Arthur C. Clarke,4.11,"Science Fiction, Classics, Fiction",English,224.0,112711,4620,$154.95,1987-05-12 00:00:00,1061,4044,20735,42838,44033,Childhood's End
Colleen Hoover,4.27,"New Adult, Contemporary Romance, Contemporary, Romance",English,337.0,142066,17096,$5.11,2014-08-05 00:00:00,2502,5558,17895,40889,75222,Ugly Love
Rick Riordan,4.42,"Young Adult, Mythology, Fantasy",English,516.0,160772,13829,$33.66,2014-10-07 00:00:00,1000,3095,16517,46375,93785,The Blood of Olympus
Dashiell Hammett,3.91,"Mystery, Classics, Fiction, Crime, Noir",English,213.0,76301,4242,$2.99,2005-03-01 00:00:00,1285,4182,18083,28983,23768,The Maltese Falcon
Neil Gaiman,4.0,"Fiction, Magical Realism, Horror, Fantasy",English,181.0,411788,42944,$179.95,2013-06-18 00:00:00,8688,22016,78700,155350,147034,The Ocean at the End of the Lane
Jeaniene Frost,4.31,"Urban Fantasy, Paranormal Romance, Paranormal, Vampires, Romance, Fantasy",English,342.0,76175,2615,$13.29,2009-01-01 00:00:00,615,1753,10008,24944,38855,At Grave's End
James Patterson,4.16,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction",English,289.0,132106,4604,$4.16,2003-08-01 00:00:00,2266,5646,22047,40420,61727,Suzanne's Diary for Nicholas
John Green,3.8,"LGBT, Young Adult, Contemporary, Fiction",English,310.0,298687,17236,$4.16,2010-04-06 00:00:00,10365,23689,72388,100639,91606,"Will Grayson, Will Grayson"
George Eliot,3.63,"Historical Fiction, Historical, Classics, Fiction, Literature",English,262.0,65087,3127,$516.28,2005-07-01 00:00:00,2833,6366,18468,21844,15576,Silas Marner
William S. Burroughs,3.45,"Fiction, Novels, Classics, Literature",English,289.0,67887,3135,$12.40,2004-01-26 00:00:00,5211,8681,19147,20292,14556,Naked Lunch
Richelle Mead,4.39,"Paranormal, Vampires, Romance, Young Adult, Fantasy",English,401.0,85980,5836,$18.88,2013-02-12 00:00:00,620,1499,9409,26330,48122,The Indigo Spell
Paulo Coelho,3.69,"Fiction, Novels, Contemporary, Romance",English,273.0,132763,6148,$19.27,2003-04-26 00:00:00,5019,12722,35643,44214,35165,Eleven Minutes
Nicholas Sparks,4.03,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction",English,341.0,131113,3711,$13.94,2005-04-01 00:00:00,1527,5960,28961,45738,48927,A Bend in the Road
J.M. Coetzee,3.84,"Africa, Southern Africa, Cultural, South Africa, Fiction, Literature, Novels",English,220.0,73450,5369,$15.48,2005-08-30 00:00:00,1610,4974,17179,29482,20205,Disgrace
W. Somerset Maugham,4.19,"Fiction, Classics, Literature",English,314.0,32691,2563,$450.00,2003-09-09 00:00:00,252,1035,5092,12331,13981,The Razor's Edge
Richard Bachman,4.11,"Horror, Science Fiction, Fiction, Thriller, Dystopia",English,370.0,95756,5407,$49.19,1999-04-01 00:00:00,992,3948,17658,34208,38950,The Long Walk
Cormac McCarthy,3.98,"Historical Fiction, Historical, Classics, Fiction, Literature, Westerns",English,302.0,84331,5472,$5.55,1993-06-29 00:00:00,1642,4348,16267,33695,28379,All the Pretty Horses
John Flanagan,4.22,"Fiction, Young Adult, Adventure, Fantasy",English,249.0,106639,6916,$30.00,2006-06-08 00:00:00,1464,3343,15928,35558,50346,The Ruins of Gorlan
Robert Musil,4.24,"European Literature, German Literature, Classics, Fiction, Literature, Philosophy",English,1774.0,4971,251,$38.99,1995-04-26 00:00:00,103,223,686,1314,2645,The Man Without Qualities
Kim Harrison,4.04,"Urban Fantasy, Paranormal, Witches, Vampires, Magic, Fantasy",English,416.0,103703,4572,$4.33,2004-07-01 00:00:00,2835,5472,19604,32785,43007,Dead Witch Walking
William Shakespeare,3.81,"Fiction, Classics, Drama, Plays",English,291.0,144234,2854,$6.84,2004-01-01 00:00:00,3242,10582,38435,50739,41236,The Taming of the Shrew
Sarah Dessen,4.07,"Contemporary, Womens Fiction, Chick Lit, Romance, Young Adult",English,383.0,177125,6631,$12.95,2009-06-16 00:00:00,3205,8088,34731,58629,72472,Along for the Ride
Bret Easton Ellis,3.61,"Horror, Mystery, Fiction, Thriller, Novels",English,404.0,21010,957,$10.52,2006-08-29 00:00:00,761,2279,6014,7243,4713,Lunar Park
Chuck Palahniuk,3.93,"Fiction, Novels, Contemporary, Thriller",English,289.0,96047,3370,"$14,100.00",2010-04-05 00:00:00,1032,5180,22569,37972,29294,Survivor
Nicholas Sparks,4.15,"Contemporary, Mystery, Womens Fiction, Adult, Chick Lit, Romance, Drama, Fiction, Contemporary Romance, Love, Adult Fiction",English,400.0,152385,4694,$9.08,2005-04-01 00:00:00,1945,5814,27775,48847,68004,The Guardian
Alex Flinn,3.84,"Romance, Fantasy, Fairy Tales, Young Adult, Retellings",English,304.0,164284,8903,$9.63,2007-10-02 00:00:00,4347,13534,41325,50229,54849,Beastly
Munro Leaf,4.36,"Classics, Childrens, Picture Books",English,72.0,81366,1613,$6.44,1936-01-01 00:00:00,1055,2111,10438,20855,46907,The Story of Ferdinand
Nicholas Evans,3.8,"Contemporary, Romance, Fiction, Horses, Animals",English,451.0,47529,1770,$6.65,1996-10-01 00:00:00,1079,3551,12451,17125,13323,The Horse Whisperer
Melissa de la Cruz,3.68,"Young Adult, Vampires, Paranormal, Fantasy",English,302.0,125861,4844,$18.12,2007-03-27 00:00:00,6217,12977,33127,35551,37989,Blue Bloods
Gary Chapman,4.24,"Self Help, Religion, Nonfiction, Marriage, Relationships, Christian Living, Personal Development, Christianity, Psychology, Love, Christian",English,204.0,235562,9656,$3.99,1992-10-13 00:00:00,3309,7383,33922,75319,115629,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
David Levithan,3.96,"Contemporary, Romance, Fiction, Young Adult, Fantasy",English,322.0,175056,19408,$5.86 to $5.96,2012-08-28 00:00:00,4027,10917,35701,61848,62563,Every Day
Nicholas Sparks,4.2,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction",English,340.0,307513,13358,$4.98,2010-09-14 00:00:00,3360,10313,49749,101268,142823,Safe Haven
