title,avg_rating,genres,author,num_pages,price,publish_date,rating_1,rating_2,rating_3,rating_4,rating_5
Chocolat,3.96,"Cultural, Romance, Fiction, Magical Realism, France, Fantasy",Joanne Harris,306,$9.70,11/1/2000,989,4485,23737,41273,31213
Heart of a Dog,4.13,"Fiction, Russia, Literature, Science Fiction, Cultural, Russian Literature, Classics",Mikhail Bulgakov,126,$9.03,1/21/1994,301,1177,5821,12244,13412
Naked in Death,4.12,"Romance, Mystery, Romantic Suspense, Fiction, Crime",J.D. Robb,306,$9.61,7/1/1995,4190,6271,24497,45450,67795
The Yellow Wallpaper and Other Stories,4.04,"Horror, Classics, Feminism, Fiction, Short Stories, Literature",Charlotte Perkins Gilman,70,$5.55,7/11/1997,1102,3393,14610,26567,27513
Pretties,3.85,"Science Fiction, Young Adult, Dystopia",Scott Westerfeld,370,$3.89,11/1/2005,4123,14655,55727,77710,65375
The Stranger,3.97,"Cultural, Classics, Fiction, Literature, Philosophy, France",Albert Camus,123,$13.99,3/28/1989,12653,33904,118721,211751,208003
The Arabian Nights,4.05,"Fiction, Classics, Short Stories, Fantasy",Anonymous,1049,$45.17,6/1/2004,815,2711,13576,22903,25015
Breaking Dawn,3.7,"Romance, Fiction, Young Adult, Fantasy, Paranormal, Vampires",Stephenie Meyer,756,$118.00,8/2/2008,106273,122980,230250,285786,435296
The Joy Luck Club,3.91,"Historical Fiction, Contemporary, Historical, Cultural, Classics, Fiction, China",Amy Tan,288,$6.98,9/21/2006,15122,31273,122769,210314,182419
The Tale of Genji,3.71,"Asian Literature, Japan, Fiction, Historical Fiction, Cultural, Historical, Japanese Literature, Classics",Murasaki Shikibu,1182,$75.50,4/26/2003,277,832,2600,2926,2462
The Prince,3.8,"Nonfiction, Classics, Politics, History, Philosophy",NiccolÃ_ Machiavelli,140,$0.99,6/1/2003,4930,16149,58570,76214,62418
Trinity,4.24,"Ireland, Fiction, Historical Fiction, European Literature, Irish Literature, Cultural, Historical",Leon Uris,912,$0.99,7/25/2006,134,477,2804,6533,8699
Dreamcatcher,3.62,"Horror, Science Fiction, Fiction",Stephen King,688,$2.31,3/1/2002,5693,15315,40901,41157,35338
Women,3.87,"Novels, Literature, Classics, Fiction",Charles Bukowski,291,$19.99,7/29/2014,1383,3667,12282,20467,16807
The Gormenghast Novels,3.99,"Fantasy, Classics, Gothic, Fiction",Mervyn Peake,1173,$100.00,12/26/1995,376,538,1243,2370,3340
Nine Stories,4.19,"American, Classics, Fiction, Short Stories, Literature",J.D. Salinger,198,$900.00,1/30/2001,1504,3817,19674,44123,55488
Richard III,3.93,"Drama, Classics, Fiction, Plays",William Shakespeare,414,$21.70,5/17/2001,598,2497,9287,13802,13198
The Pillars of the Earth,4.31,"Fiction, Historical Fiction, Historical",Ken Follett,973,$17.70,2/4/2002,10663,18978,64829,168947,310372
Corelli's Mandolin,3.97,"Historical Fiction, Historical, Classics, Romance, Fiction, War",Louis de BerniÃ¨res,437,$10.76,8/29/1995,1822,4216,13874,25480,25419
Ugly Love,4.27,"New Adult, Contemporary Romance, Contemporary, Romance",Colleen Hoover,337,$5.11,8/5/2014,2502,5558,17895,40889,75222
The Five People You Meet in Heaven,3.92,"Fiction, Inspirational, Contemporary, Fantasy",Mitch Albom,196,$1.99,9/23/2003,13196,35739,116197,171726,185153
The Alienist,4.06,"Historical Fiction, Mystery, Historical, Mystery Thriller, Fiction, Crime, Thriller",Caleb Carr,498,$23.41,10/24/2006,2137,5607,23370,48445,48551
The Kitchen House,4.19,"Historical, Book Club, Fiction, Historical Fiction",Kathleen Grissom,369,$5.55,2/2/2010,2135,6488,29595,81888,88589
A Walk to Remember,4.16,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction, Young Adult",Nicholas Sparks,240,$11.11,9/1/2004,11245,25386,99831,181165,282487
The Truth About Forever,4.13,"Fiction, Young Adult, Contemporary, Romance",Sarah Dessen,374,$12.22,5/11/2004,2912,8126,35713,64576,86344
Angels & Demons,3.88,"Fiction, Mystery, Thriller, Suspense",Dan Brown,736,$2.99 to $8.99,4/1/2006,85649,158546,507168,812994,801802
The Pearl,3.45,"Academic, School, Classics, Fiction, Literature",John Steinbeck,96,$23.73,1/8/2002,9605,20143,54732,53578,30645
Midnight in the Garden of Good and Evil,3.91,"Crime, True Crime, Nonfiction, Mystery",John Berendt,386,$21.99,6/28/1999,2592,10061,47249,79138,57991
The Lost Colony,4,"Fantasy, Fiction, Science Fiction, Young Adult",Eoin Colfer,385,$12.04,9/15/2006,4079,6601,28251,48190,53429
The Song of Achilles,4.32,"LGBT, Historical Fiction, Historical, Romance, Fiction, Mythology, Fantasy",Madeline Miller,352,$7.15,9/20/2011,1711,3426,13638,36084,63642
Before I Go to Sleep,3.89,"Mystery, Suspense, Thriller, Fiction",S.J. Watson,359,$5.60,6/14/2011,4355,14318,59753,99875,72946
Atonement,3.89,"Historical Fiction, Historical, Classics, Romance, Fiction",Ian McEwan,351,$5.26,3/26/2003,12191,27215,83399,147641,130601
The Left Hand of Darkness,4.06,"Science Fiction, Classics, Fiction, Fantasy",Ursula K. Le Guin,304,$300.00,7/1/2000,1490,4585,17642,36146,37051
Fahrenheit 451,3.98,"Fiction, Dystopia, Classics, Science Fiction",Ray Bradbury,227,$12.62,3/28/2013,32833,75293,278634,506007,503078
Rebecca,4.22,"Mystery, Classics, Romance, Fiction, Gothic",Daphne du Maurier,449,$19.99,12/17/2013,5123,12310,55695,130767,180239
The Scarlet Letter,3.39,"Academic, Historical Fiction, Historical, School, Classics, Fiction",Nathaniel Hawthorne,279,$15.48,2/27/2003,38819,88814,204456,187309,112712
Wool Omnibus,4.24,"Fiction, Dystopia, Apocalyptic, Science Fiction, Post Apocalyptic",Hugh Howey,509,$10.49,1/25/2012,1345,4131,18478,53689,64196
Contact,4.13,"Science Fiction, Fiction",Carl Sagan,580,$2.75 to $2.91,8/28/1997,984,3683,19703,40601,44011
The Wedding,3.98,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction",Nicholas Sparks,276,$2.99,8/1/2005,2206,7993,29759,41815,50272
A Tree Grows in Brooklyn,4.26,"Historical Fiction, Historical, Classics, Fiction, Young Adult",Betty  Smith,496,$94.80,5/30/2006,4013,10388,47367,114903,168301
My ÃÅntonia,3.78,"Historical Fiction, Historical, Classics, Fiction, Literature",Willa Cather,232,$97.78,2/20/2000,3880,9027,26881,39385,32014
Bridget Jones's Diary,3.76,"Humor, Contemporary, Womens Fiction, Chick Lit, Romance, Fiction",Helen Fielding,288,$11.11,6/1/1999,31879,63635,213520,278142,240323
Sons and Lovers,3.62,"Romance, English Literature, Fiction, 20th Century, Literature, European Literature, Banned Books, British Literature, Novels, Classics, Classic Literature",D.H. Lawrence,654,$16.81,8/17/1999,1564,4233,12751,14932,9567
The Martian Chronicles,4.13,"Science Fiction, Classics, Short Stories, Fiction",Ray Bradbury,182,$60.00,6/1/1984,1942,6674,32409,65950,76077
Kane and Abel,4.29,"Historical Fiction, Historical, Drama, Fiction, Thriller",Jeffrey Archer,592,$18.99,3/13/2004,692,2031,11621,31660,43536
Night Watch,4.49,"Fiction, Humor, Science Fiction Fantasy, Fantasy",Terry Pratchett,480,$24.99,10/27/2011,243,764,7567,26384,52292
Night Watch,3.98,"Fiction, Fantasy, Paranormal, Urban Fantasy, Horror, Vampires",Sergei Lukyanenko,455,$24.99,7/1/2006,602,2006,7534,14671,12555
The Daughter of Time,3.94,"Mystery, Fiction, Historical Fiction, Historical, Crime",Josephine Tey,206,$6.84,11/29/1995,387,1267,4500,7718,6908
Wicked: The Life and Times of the Wicked Witch of the West,3.53,"Fiction, Adult, Fantasy",Gregory Maguire,406,$11.37,4/26/2000,41736,67752,136888,159938,139146
I've Got Your Number,3.94,"Romance, Womens Fiction, Contemporary, Fiction, Humor, Chick Lit",Sophie Kinsella,433,$200.00,2/14/2012,3872,8958,38301,64880,56798
The Poisonwood Bible,4.05,"Africa, Historical Fiction, Historical, Cultural, Classics, Fiction",Barbara Kingsolver,546,$5.99,7/5/2005,22245,35308,98336,190004,264185
Stardust,4.08,"Romance, Fantasy, Fiction, Young Adult, Adventure",Neil Gaiman,248,$11.50,8/29/2006,3239,11129,57973,121986,115257
The Color of Magic,3.99,"Fiction, Humor, Fantasy",Terry Pratchett,228,$9.02,9/13/2005,4606,13520,58863,96344,97467
All Together Dead,4.06,"Mystery, Urban Fantasy, Paranormal, Vampires, Romance, Fiction, Fantasy",Charlaine Harris,323,$9.89,5/1/2007,1168,5983,39271,68922,64661
Carrie,3.95,"Horror, Paranormal, Fiction, Thriller, Fantasy",Stephen King,253,$17.49,11/1/2005,5299,21740,108933,159794,144490
The Passion,4.11,"GLBT, Fiction, Historical Fiction, Fantasy, Historical, LGBT, Queer, Magical Realism",Jeanette Winterson,176,$4.99,8/7/1997,201,730,2963,6086,6938
All the Bright Places,4.18,"Fiction, Young Adult, Contemporary, Romance",Jennifer Niven,378,$18.99,1/6/2015,4633,9823,31827,66403,103528
The War of the Worlds,3.81,"Science Fiction, Classics, Fiction",H.G. Wells,192,$5.80,3/12/2002,3278,12972,58746,81180,54914
The Three Musketeers,4.07,"Historical Fiction, European Literature, Historical, Cultural, Classics, Fiction, Literature, French Literature, Novels, France, Classic Literature, Adventure",Alexandre Dumas,625,$4.50,2/13/2001,2441,9032,50169,92325,92970
Matilda,4.3,"Fiction, Classics, Childrens, Fantasy",Roald Dahl,240,$11.90,6/1/1998,4892,11688,69856,168600,264279
Hard Times,3.52,"Literature, Classics, 19th Century, Fiction",Charles Dickens,353,$10.50,10/19/2003,1804,5291,16298,16195,8900
The Secret Life of Bees,4.03,"Historical Fiction, Historical, Fiction, Young Adult, Adult Fiction",Sue Monk Kidd,336,$5.60,1/28/2003,18290,47729,197871,379253,383078
The Demigod Files,4.04,"Fantasy, Mythology, Young Adult",Rick Riordan,151,$8.39,2/10/2009,583,3324,15984,21692,27242
The Wind in the Willows,3.99,"European Literature, Childrens, Classics, British Literature, Middle Grade, Fiction, Literature, Young Adult, Animals, Adventure, Fantasy",Kenneth Grahame,256,$6.44,10/27/2005,3256,8351,35349,54434,59452
The Hours,3.93,"Fiction, Historical Fiction, Contemporary, Historical",Michael Cunningham,230,$7.15,10/26/2002,2761,7427,25556,42331,40240
Never Too Far,4.2,"Romance, Contemporary, Young Adult, New Adult, Contemporary Romance",Abbi Glines,193,$25.81,2/25/2013,1496,4193,16514,34772,51175
The Goose Girl,4.17,"Romance, Fiction, Fairy Tales, Young Adult, Fantasy",Shannon Hale,383,$32.25,5/1/2005,2140,3567,16095,36777,48110
The Dream Thieves,4.27,"Fantasy, Paranormal, Young Adult",Maggie Stiefvater,439,$11.21,9/17/2013,1060,2969,14755,41428,54458
White Oleander,3.95,"Fiction, Chick Lit, Contemporary, Womens Fiction",Janet Fitch,446,$7.71,9/1/2001,4234,14579,64620,104600,93237
The Cat in the Hat,4.16,"Humor, Childrens, Cats, Classics, Fiction, Poetry, Picture Books, Kids, Animals, Fantasy",Dr. Seuss,61,$2.94,4/26/1985,7467,16338,63451,95875,176656
Me Talk Pretty One Day,3.98,"Humor, Nonfiction, Memoir, Short Stories, Autobiography, Essays, Writing",David Sedaris,272,$4.16,4/26/2001,21416,31583,101961,194554,217250
Master of the Game,4.11,"Mystery, Suspense, Thriller, Fiction",Sidney Sheldon,489,$21.14,4/26/1993,404,1713,9056,17095,18777
The Mists of Avalon,4.12,"Historical Fiction, Historical, Arthurian, Fiction, Science Fiction Fantasy, Mythology, Fantasy",Marion Zimmer Bradley,884,$16.58,4/12/1984,3757,8501,29375,55497,79131
Ringworld,3.96,"Science Fiction Fantasy, Science Fiction, Fiction",Larry Niven,288,$99.95,6/9/2005,1373,5314,20851,34371,31888
The Cider House Rules,4.12,"Historical Fiction, Historical, Classics, Fiction, Literature",John Irving,973,$8.15,7/1/2000,1357,4602,25262,60367,55981
The Vampire Armand,3.76,"Fiction, Historical Fiction, Fantasy, Adult, Paranormal, Urban Fantasy, Gothic, Historical, Supernatural, Horror, Vampires",Anne Rice,457,$0.99,10/3/2000,1184,5026,18047,19884,16891
A Tale of Two Cities,3.83,"Historical Fiction, Historical, Classics, Fiction, Literature",Charles Dickens,489,$21.12,4/26/2003,30838,59225,164709,237020,249300
Hopscotch,4.25,"Fiction, European Literature, Spanish Literature, Cultural, Latin American, Classics",Julio CortÃ¡zar,564,$17.49,2/12/1987,547,1173,3175,6842,13314
Outlander,4.22,"Historical Fiction, Historical Romance, Historical, Romance, Fiction, Science Fiction, Time Travel, Fantasy",Diana Gabaldon,850,$11.99,7/26/2005,24479,32873,86703,177690,381877
The Return of the King,4.52,"Fiction, Classics, Adventure, Fantasy",J.R.R. Tolkien,490,$5.60,4/26/2003,2988,8696,46978,147706,378149
The Beach,3.93,"Travel, Contemporary, Fiction, Thriller, Adventure",Alex Garland,436,$10.11,2/1/1998,892,3477,14471,25666,19615
Christine,3.75,"Horror, Thriller, Fiction",Stephen King,411,$63.80,6/13/2001,3480,14840,52588,55744,49515
The Gunslinger,3.96,"Fiction, Science Fiction, Horror, Fantasy",Stephen King,231,$69.95,7/26/2003,12822,31214,92724,138504,176950
The House of Hades,4.55,"Young Adult, Mythology, Fantasy",Rick Riordan,597,$28.14,10/8/2013,810,2293,15705,55783,141476
War and Peace,4.11,"Russia, Historical Fiction, Historical, Cultural, Classics, Fiction, Literature",Leo Tolstoy,1392,$2.99,6/25/1998,6787,11559,37640,71545,105717
House of Sand and Fog,3.84,"Fiction, Contemporary",Andre Dubus III,384,$5.60,3/31/2011,3381,7795,26754,42512,34577
The Iron King,3.91,"Young Adult, Romance, Paranormal, Fantasy",Julie Kagawa,363,$165.99,1/19/2010,6271,12413,37181,54005,65197
James and the Giant Peach,4,"Fiction, Classics, Childrens, Fantasy",Roald Dahl,146,$2.65,9/10/2002,5354,15021,72679,116860,119860
The Amber Spyglass,4.08,"Fiction, Young Adult, Fantasy",Philip Pullman,467,$10.93,9/9/2003,5164,13089,43793,80850,106637
The Golden Compass,3.96,"Fiction, Young Adult, Fantasy",Philip Pullman,399,$38.72,4/16/1996,41435,70228,220233,354745,441831
His Dark Materials,4.26,"Fiction, Young Adult, Fantasy",Philip Pullman,1088,$175.00,9/23/2003,2033,4165,14955,35158,60081
Neverwhere,4.18,"Fiction, Science Fiction Fantasy, Urban Fantasy, Fantasy",Neil Gaiman,370,$94.95,9/2/2003,4178,11909,57043,137693,158095
American Gods,4.11,"Fiction, Urban Fantasy, Mythology, Fantasy",Neil Gaiman,635,$225.00,3/4/2005,12643,31484,104725,223889,280001
Coraline,4.05,"Horror, Childrens, Fiction, Young Adult, Fantasy",Neil Gaiman,162,$32.95,8/29/2006,8691,17362,77058,148674,158369
The Great Hunt,4.22,"Science Fiction Fantasy, Epic Fantasy, Fiction, Magic, Fantasy, Adult, Audiobook, Epic, Adventure, High Fantasy",Robert Jordan,705,$13.51,10/15/1991,1902,5366,27314,72361,87093
Cat's Cradle,4.17,"Humor, Classics, Fiction, Science Fiction, Literature",Kurt Vonnegut,306,$12.93,4/26/1999,3124,9705,49397,115122,130745
Possession,3.89,"Historical Fiction, Mystery, Historical, Classics, Romance, Fiction",A.S. Byatt,555,$5.80,10/1/1991,2528,4963,13185,21498,23186
The Memory Keeper's Daughter,3.65,"Fiction, Contemporary, Adult Fiction, Adult",Kim Edwards,401,$9.24,5/30/2006,19653,47924,149967,190767,120769
The Lord of the Rings,4.49,"Epic Fantasy, Young Adult, Classics, Fantasy, High Fantasy, Fiction, Literature, Novels, Science Fiction Fantasy, Adventure",J.R.R. Tolkien,1216,$0.99,10/12/2005,5191,10334,41091,118571,320648
The Accidental Tourist,3.91,"Romance, Adult Fiction, Contemporary, Fiction, Literature, Adult, Literary Fiction, Novels, Classics, American",Anne Tyler,352,$17.18,4/9/2002,1180,4718,21866,35436,26671
Harry Potter and the Chamber of Secrets,4.41,"Fiction, Young Adult, Fantasy",J.K. Rowling,341,$17.53,6/2/1999,9786,45807,267818,638941,1314651
Harry Potter and the Prisoner of Azkaban,4.55,"Fiction, Young Adult, Fantasy",J.K. Rowling,435,$1.73,5/1/2004,8017,22386,181090,577006,1536115
Harry Potter and the Goblet of Fire,4.55,"Fiction, Young Adult, Fantasy",J.K. Rowling,734,$3.74,9/28/2002,7732,22107,165659,556624,1424229
Bone Crossed,4.34,"Romance, Werewolves, Fantasy, Paranormal, Urban Fantasy, Vampires, Shapeshifters",Patricia Briggs,300,$10.01,4/26/2010,264,1017,10352,32663,43266
Circle of Five,4.19,"Fiction, Fantasy, Young Adult, Science Fiction, Paranormal, Aliens, Adventure",Jan Raymond,352,$62.99,1/8/2014,12,14,42,66,164
Confessions of a Shopaholic,3.63,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction",Sophie Kinsella,368,$7.40,11/4/2003,31829,59274,164709,178033,159050
Number the Stars,4.13,"Historical Fiction, Historical, Childrens, Classics, Fiction, Young Adult",Lois Lowry,137,$15.51,2/9/1998,4355,13982,69586,138695,161740
Holes,3.95,"Fiction, Young Adult, Middle Grade, Childrens",Louis Sachar,233,$5.25 to $6.57,9/2/2000,17679,48399,194036,300931,300064
The Outsiders,4.08,"Realistic Fiction, Academic, Historical Fiction, Teen, Historical, Contemporary, School, Classics, Fiction, Coming Of Age, Read For School, Young Adult",S.E. Hinton,192,$2.98,9/1/1997,11871,38765,152370,265439,330951
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",4.25,"Fiction, Humor, Urban Fantasy, Fantasy",Terry Pratchett,412,$1.25,11/28/2006,6631,13867,55577,125447,203775
Bloodlines,4.21,"Paranormal, Vampires, Romance, Young Adult, Fantasy",Richelle Mead,421,$51.62,8/23/2011,3313,5329,22864,48511,77021
Bloodlines,3.7,"Young Adult, Fantasy, Paranormal, Horror, Vampires",Lindsay Anne Kendal,320,$51.62,4/29/2010,87,92,177,227,347
Winter of the World,4.32,"Historical, Fiction, Historical Fiction",Ken Follett,940,$12.83,9/18/2012,570,2033,12584,40590,53097
Towers of Midnight,4.43,"Fantasy, Epic Fantasy, Fiction",Robert Jordan,863,$6.50,11/2/2010,952,1870,9978,34214,64255
The Sirens of Titan,4.16,"Science Fiction, Classics, Fiction",Kurt Vonnegut,224,$44.99,9/9/1999,708,3190,16935,36990,41400
Archangel's Kiss,4.24,"Romance, Fantasy, Paranormal, Angels, Urban Fantasy, Vampires, Paranormal Romance",Nalini Singh,323,$3.78,2/2/2010,387,1372,6649,15328,21098
The Sword in the Stone,3.91,"Fiction, Historical Fiction, Fantasy, Young Adult, Childrens, Arthurian, Historical, Mythology, Classics, Adventure",T.H. White,352,$8.41,11/2/1998,504,1273,5054,7763,7133
A Bend in the Road,4.03,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction",Nicholas Sparks,341,$13.94,4/1/2005,1527,5960,28961,45738,48927
The Notebook,4.08,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction",Nicholas Sparks,214,$55.66,7/5/2004,43553,67483,189337,324252,550733
The House on Mango Street,3.61,"Short Stories, Fiction, Young Adult, Academic, School, Classics",Sandra Cisneros,110,$3.99,4/3/2009,4547,10636,30090,35628,24228
Animal Dreams,4.06,"Novels, Contemporary, Literary Fiction, Fiction",Barbara Kingsolver,342,$7.46,4/26/1991,387,1742,11649,23972,19711
Starters,3.91,"Romance, Mystery, Fiction, Young Adult, Fantasy, Dystopia, Apocalyptic, Science Fiction, Post Apocalyptic, Futuristic, Teen",Lissa Price,352,$130.00,3/13/2012,787,2391,8850,14274,12335
Fool's Fate,4.4,"Magic, Fiction, Fantasy, Dragons, Epic",Robin Hobb,914,$5.94,11/23/2004,270,834,5754,18750,31219
The Kite Runner,4.28,"Fiction, Historical Fiction, Contemporary, Historical",Khaled Hosseini,371,$1.40,5/1/2004,37243,65238,247177,704134,1092561
Pet Sematary,3.96,"Horror, Fiction, Thriller",Stephen King,576,$3.16,11/1/2005,5034,18596,81016,122351,118560
The Dark Tower,4.28,"Fiction, Science Fiction, Horror, Fantasy",Stephen King,1050,$5.50,9/1/2006,1836,4384,15865,37773,65815
The Godfather,4.37,"Mystery, Historical Fiction, Historical, Classics, Fiction, Crime, Thriller",Mario Puzo,448,$45.75,3/1/2002,3074,6387,31849,90808,163079
Winter,4.48,"Fantasy, Romance, Science Fiction, Young Adult",Marissa Meyer,827,$0.84,11/10/2015,488,1969,12940,46102,91178
The Source,4.3,"Fiction, Historical Fiction, Israel, Religion, Cultural, Historical",James A. Michener,1104,$103.19,7/9/2002,336,1003,4852,11352,18836
The Old Man and the Sea,3.76,"Fiction, Novels, Classics, Literature",Ernest Hemingway,132,$98.60,4/26/1996,33176,61400,162401,227604,213848
1984,4.17,"Academic, Adult, School, Classics, Fiction, Science Fiction, Politics, Literature, Novels, Dystopia, Fantasy",George Orwell,326,$40.02,7/1/1950,51488,102419,384254,848361,1174185
Animal Farm,3.91,"Fiction, Fantasy, Dystopia, Science Fiction, Classics",George Orwell,144,$5.60,4/26/1996,74122,148275,484290,817920,800062
Girl with a Pearl Earring,3.87,"Historical Fiction, Historical, Adult, Classics, Romance, Art, Fiction, Literature, Novels, Adult Fiction",Tracy Chevalier,233,$5.06 to $10.22,4/26/2005,14359,31681,136210,213390,168391
Great Expectations,3.76,"Historical Fiction, Historical, Classics, Fiction, Literature",Charles Dickens,505,$59.37,4/26/1998,25832,49642,135398,194995,174995
Great Expectations,3.76,"Historical Fiction, Historical, Classics, Fiction, Literature",Charles Dickens,512,$59.37,12/31/2002,25832,49642,135398,194995,174995
A Separate Peace,3.57,"Academic, Historical Fiction, Historical, School, Classics, Fiction, Young Adult",John Knowles,208,$14.41,9/30/2003,9095,19908,49624,58574,40206
The Surgeon,4.1,"Mystery, Fiction, Thriller, Suspense, Crime",Tess Gerritsen,416,$5.60,4/26/2005,1874,4033,20947,42294,45824
River Secrets,4.04,"Fantasy, Fiction, Romance, Young Adult",Shannon Hale,290,$7.98,9/5/2006,359,1073,6808,12335,11257
The Clan of the Cave Bear,4.04,"Fiction, Historical Fiction, Historical, Fantasy",Jean M. Auel,512,$124.99,6/25/2002,4238,10757,39971,70296,81742
The Valley of Horses,4,"Historical Fiction, Historical, Romance, Fiction, Fantasy",Jean M. Auel,544,$10.04,6/25/2002,791,3448,14909,24558,23876
Silver Shadows,4.36,"Romance, Young Adult, Fantasy, Paranormal, Vampires",Richelle Mead,380,$7.18,7/29/2014,274,1024,5589,15158,25559
Something Wicked This Way Comes,3.95,"Horror, Classics, Science Fiction, Fiction, Fantasy",Ray Bradbury,293,$44.99,3/1/1998,1338,4663,18762,31955,27698
Eva Luna,3.96,"Historical, Magical Realism, Fiction, Historical Fiction",Isabel Allende,307,$2.85,8/1/1989,298,1468,8251,14300,10633
The Complete Fairy Tales,4.28,"Fiction, Fantasy, Childrens, Fairy Tales, Classics",Hans Christian Andersen,803,$14.11,1/26/1996,842,2686,17814,37162,58518
Mystic River,4.18,"Suspense, Mystery, Contemporary, Mystery Thriller, Drama, Fiction, Crime, Detective, Thriller, Novels",Dennis Lehane,416,$9.48,2/1/2001,1443,3093,16069,43385,46998
About a Boy,3.8,"Humor, Contemporary, Fiction",Nick Hornby,307,$25.40,4/26/2000,1173,5870,33729,52035,24874
Wonder,4.45,"Realistic Fiction, Contemporary, Childrens, Middle Grade, Fiction, Young Adult",R.J. Palacio,410,$10.35,1/3/2013,6154,11070,50059,159494,353981
Wonder,4.45,"Contemporary, Fiction, Young Adult, Childrens, Realistic Fiction, Middle Grade",R.J. Palacio,315,$10.35,2/14/2012,6155,11073,50065,159529,354025
The Neverending Story,4.18,"Childrens, Classics, Fiction, Young Adult, Fantasy",Michael Ende,396,$38.88,4/26/1997,1872,5256,23501,44566,65612
The Hobbit or There and Back Again,4.26,"Fiction, Classics, Adventure, Fantasy",J.R.R. Tolkien,366,$14.02,8/15/2002,50916,84312,319827,752453,1302460
The Fellowship of the Ring,4.35,"Fiction, Classics, Fantasy",J.R.R. Tolkien,398,$24.00,9/5/2003,42139,61253,222756,553966,1205033
She's Come Undone,3.86,"Fiction, Chick Lit, Contemporary, Womens Fiction",Wally Lamb,465,$49.99,6/28/1998,10675,21098,63133,98633,97483
The Hitchhiker's Guide to the Galaxy,4.22,"Humor, Classics, Science Fiction, Fiction, Fantasy",Douglas Adams,216,$1.06,4/26/2017,25648,49290,171008,358231,610064
Safe Haven,4.2,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction",Nicholas Sparks,340,$4.98,9/14/2010,3360,10313,49749,101268,142823
Nicholas Nickleby,3.91,"Literature, Classics, Fiction",Charles Dickens,817,$32.27,4/26/2003,748,2075,8908,13736,11806
Snow Falling on Cedars,3.83,"Fiction, Historical Fiction, Historical, Mystery",David Guterson,460,$6.63,9/26/1995,2774,9833,39604,61723,40967
Catch-22,3.98,"Humor, Historical Fiction, Historical, Classics, Fiction, War",Joseph Heller,453,$11.67,9/4/2004,23476,42809,118871,209175,261464
Angela's Ashes,4.09,"Autobiography, Biography, Nonfiction, Memoir",Frank McCourt,452,$22.15,10/3/2005,9115,20558,81386,175987,195386
The Shipping News,3.85,"Fiction, Contemporary, Literature",Annie Proulx,337,$600.00,4/26/2002,3563,8710,27183,44970,37366
The Painted Bird,3.94,"Fiction, Historical Fiction, Literature, Horror, Historical, World War II, Holocaust, War, Classics",Jerzy KosiÅ„ski,234,$650.00,8/9/1995,560,1119,3645,6622,6419
The Voyage of the Dawn Treader,4.09,"Childrens, Classics, Fiction, Young Adult, Fantasy",C.S. Lewis,248,$39.99,9/1/2006,2907,13587,75525,123952,143968
Zorba the Greek,4.08,"Fiction, Literature, Philosophy, Novels, Classics",Nikos Kazantzakis,335,$5.60,4/3/2000,738,1667,5055,9924,13109
The Kitchen God's Wife,4,"Historical Fiction, Contemporary, Historical, Cultural, Asia, Fiction, China",Amy Tan,416,$9.52,9/21/2006,400,2028,15306,29731,20567
Dead in the Family,3.89,"Romance, Fiction, Fantasy, Paranormal, Urban Fantasy, Vampires",Charlaine Harris,311,$20.11,5/4/2010,1577,8821,38717,50484,44905
The Adventures of Sherlock Holmes,4.31,"Mystery, Classics, Fiction, Crime, Short Stories",Arthur Conan Doyle,339,$464.65,10/22/1998,1082,3439,27771,77417,103124
Different Seasons,4.35,"Horror, Short Stories, Fiction, Thriller",Stephen King,560,$8.89,2/16/1995,514,2396,19054,53854,80140
A Doll's House,3.71,"Academic, School, Classics, Drama, Plays, Fiction",Henrik Ibsen,122,$5.38,4/26/2007,2020,7921,26798,34066,21804
Preludes & Nocturnes,4.26,"Graphic Novels, Fiction, Fantasy, Graphic Novels Comics, Comics, Sequential Art, Horror",Neil Gaiman,233,$5.99,12/1/1998,4957,5992,21318,50434,93280
The Mammoth Hunters,3.9,"Romance, Adult Fiction, Fiction, Historical Fiction, Fantasy, Novels, Adult, Historical, Prehistoric, Adventure",Jean M. Auel,688,$5.60,6/25/2002,682,3491,14639,20061,17846
Lady Chatterley's Lover,3.5,"Fiction, Classics, Literature, Romance",D.H. Lawrence,376,$509.83,6/12/1983,3344,10546,29685,28412,16618
The Iron Daughter,4.12,"Paranormal, Fairies, Romance, Young Adult, Fantasy",Julie Kagawa,359,$9.33,7/20/2010,1758,4662,18906,34279,46420
The Demon King,4.19,"Fantasy, Magic, Young Adult, High Fantasy",Cinda Williams Chima,506,$8.99,10/6/2009,1079,1834,8080,20620,26230
The Battle for Skandia,4.33,"Fantasy, Adventure, Fiction, Young Adult",John Flanagan,294,$4.75,3/18/2008,601,1446,9390,23898,38727
Tortilla Flat,3.83,"Literature, Classics, Fiction",John Steinbeck,256,$39.99,7/26/2001,503,2332,10831,15374,10257
