title,avg_rating,genres,author,num_pages,price,publish_date,rating_1,rating_2,rating_3,rating_4,rating_5
Ender's Shadow,4.31,"Science Fiction Fantasy, Science Fiction, Fiction, Young Adult, Fantasy",Orson Scott Card,469,$23.37,5/19/2002,802,3040,17666,48673,69442
Resonance,4.15,"Romance, Fantasy, Young Adult, Science Fiction, Urban Fantasy",Nelou Keramati,350,$59.99,8/31/2016,7,15,56,87,155
Christy,4.22,"Historical Fiction, Historical, Classics, Romance, Fiction, Christian, Christian Fiction",Catherine Marshall,512,$17.99,12/31/2001,565,1472,7284,15118,22355
Lady Midnight,4.45,"Fantasy, Romance, Paranormal, Young Adult",Cassandra Clare,688,$24.88,3/8/2016,1968,2793,11370,34061,81632
The Darkest Night,4.08,"Romance, Fantasy, Paranormal, Demons, Paranormal Romance",Gena Showalter,379,$20.87,5/3/2008,1819,3640,12681,21854,31253
Blood Promise,4.34,"Paranormal, Vampires, Romance, Young Adult, Fantasy",Richelle Mead,503,$4.90,8/25/2009,2326,6680,32851,74969,142589
Legend,4.18,"Science Fiction, Young Adult, Dystopia, Romance",Marie Lu,305,$4.99,11/29/2011,6154,13717,56842,121927,169297
Legend,4.26,"Fantasy, Epic Fantasy, Fiction",David Gemmell,345,$4.99,4/26/1994,243,763,3467,7934,12035
Martin Eden,4.42,"Literature, Classics, American, Fiction",Jack London,480,$20.97,2/1/1994,161,482,1989,5332,11572
Rebel Angels,3.94,"Fantasy, Historical, Young Adult, Historical Fiction",Libba Bray,548,$16.33,12/26/2006,3724,5401,20235,33020,36602
Crossed,3.52,"Young Adult, Romance, Dystopia, Science Fiction",Ally Condie,367,$29.99,3/12/2013,7372,24596,62203,60424,40105
The Tempest,3.81,"Fiction, Classics, Drama, Plays",William Shakespeare,218,$580.82,7/26/2004,2805,11374,42735,53825,44224
Carry On,4.23,"Fantasy, LGBT, Romance, Young Adult",Rainbow Rowell,522,$125.00,5/9/2017,2964,5314,18306,41325,68845
Carry On,4.23,"Fantasy, LGBT, Romance, Young Adult",Rainbow Rowell,522,$125.00,10/6/2015,2965,5315,18312,41337,68877
The Choice,3.99,"Romance, Womens Fiction, Contemporary, Fiction, Chick Lit",Nicholas Sparks,272,$14.25,9/30/2007,2420,7968,31114,47384,53559
Suttree,4.18,"Fiction, Literature, Gothic, Novels, Southern Gothic, Classics",Cormac McCarthy,471,$4.22,5/26/1992,241,625,2496,5182,7365
"Cry, the Beloved Country",3.89,"Africa, Academic, Historical Fiction, Historical, Southern Africa, Cultural, School, Classics, South Africa, Fiction, Literature, Read For School, Novels",Alan Paton,316,$13.97,11/25/2003,1652,4259,13127,20950,19931
Fantasy Lover,4.17,"Urban Fantasy, Paranormal Romance, Paranormal, Romance, Fantasy",Sherrilyn Kenyon,337,$10.03,2/18/2002,1517,3536,13084,23321,38066
Tropic of Cancer,3.7,"Novels, Literature, Classics, Fiction",Henry Miller,318,$700.00,1/6/1994,2718,5338,13788,18535,15626
The Red Pyramid,4.08,"Young Adult, Mythology, Fantasy",Rick Riordan,516,$4.16,5/4/2010,5066,13970,52421,89599,117587
Princess Academy,4.02,"Childrens, Middle Grade, Fiction, Young Adult, Fantasy",Shannon Hale,314,$18.30,4/17/2007,1148,3992,19482,36291,32757
Where the Heart Is,4.01,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction, Adult Fiction",Billie Letts,376,$8.84,6/1/1998,2145,9275,49839,83646,77620
Washington Square,3.67,"Fiction, Literature, 19th Century, Classics, American",Henry James,240,$119.98,4/6/2004,388,1356,4913,6291,3448
Stone of Tears,4.11,"Romance, Science Fiction Fantasy, Epic Fantasy, Fiction, Magic, Fantasy, Adult, Epic, Adventure, High Fantasy",Terry Goodkind,703,$12.89,9/15/1995,1686,4001,16283,35014,40251
In and Out of Step,4.14,"Horror, Fiction",Christine M. Knight,482,$288.00,1/14/2013,2,8,15,17,50
Are You My Mother?,4.18,"Childrens, Picture Books",P.D. Eastman,64,$4.90,4/26/1962,4358,8778,33764,49549,98920
Marina,4.01,"Mystery, Fiction, Young Adult, Fantasy, Horror",Carlos Ruiz ZafÃ_n,238,$125.00,4/26/1999,383,1604,6897,12260,11668
Impulse,4.28,"Young Adult, Poetry, Contemporary, Fiction",Ellen Hopkins,666,$0.99,1/23/2007,1047,2484,9227,17735,35877
Prodigal Summer,3.99,"Fiction, Nature, Contemporary, Environment",Barbara Kingsolver,444,$29.95,10/16/2001,1250,4340,18525,33769,30433
My Side of the Mountain,4.05,"Fiction, Young Adult, Childrens, Classics, Adventure",Jean Craighead George,192,"$1,293.41",4/12/2004,965,2352,11299,20174,21646
American Pastoral,3.92,"Novels, Literature, Classics, Fiction",Philip Roth,432,$9.94,3/5/1998,1498,3758,10712,19922,18443
Sophie's Choice,4.19,"Historical Fiction, War, Historical, World War II, Classics, Fiction, Holocaust",William Styron,562,$2.70,3/3/1992,1358,2929,11429,25613,35681
The Shadow of the Wind,4.26,"Historical Fiction, Mystery, Historical, Fiction, Fantasy",Carlos Ruiz ZafÃ_n,487,$400.00,1/25/2005,5524,13586,49254,120704,192831
And Then There Were None,4.25,"Mystery, Classics, Fiction, Crime, Thriller",Agatha Christie,264,$30.14,5/3/2004,9135,16861,85976,209225,304313
More Than This,4.01,"Young Adult, Dystopia, LGBT, Science Fiction",Patrick Ness,480,$5.15,5/1/2014,791,2156,7551,15491,14451
Rage of Angels,3.93,"Romance, Mystery, Fiction, Thriller, Suspense",Sidney Sheldon,512,$59.00,8/3/1999,347,1737,8198,11988,10313
The Dragon Reborn,4.25,"Science Fiction Fantasy, Epic Fantasy, Fiction, Fantasy, High Fantasy",Robert Jordan,624,$3.53,9/14/2002,1746,4762,25923,66091,85957
The Killer Angels,4.32,"Historical Fiction, Historical, Civil War, Fiction, Military History, War",Michael Shaara,345,$5.55,8/12/1987,756,1878,8319,22425,36311
Sphere,3.79,"Science Fiction, Thriller, Fiction",Michael Crichton,371,$0.15,6/23/1997,1985,10291,43643,55473,38734
The Andromeda Strain,3.89,"Science Fiction, Thriller, Fiction",Michael Crichton,327,$10.51,10/28/2003,1753,10121,53366,77825,56344
The Last of the Mohicans,3.7,"Historical Fiction, Historical, Classics, American, Fiction, Literature, Novels, War, Classic Literature, Adventure",James Fenimore Cooper,410,$6.44,6/1/1982,3297,7605,21249,26309,22235
Blackwood Farm,3.86,"Fiction, Fantasy, Paranormal, Horror, Vampires",Anne Rice,774,$12.44,4/26/2003,748,2186,7096,9437,9588
Dolores Claiborne,3.85,"Horror, Thriller, Fiction",Stephen King,324,$13.99,11/6/1996,1737,8021,29903,38572,34066
Deception Point,3.7,"Fiction, Mystery, Thriller, Suspense",Dan Brown,556,$5.60,12/26/2002,15633,48207,157488,182305,137088
Soul Music,4.04,"Fantasy, Humor, Fiction",Terry Pratchett,424,$19.70 to $28.99,4/26/1999,218,2044,13245,22375,20201
The Eye of the World,4.19,"Fiction, Epic Fantasy, High Fantasy, Fantasy",Robert Jordan,814,$395.95,11/15/1990,7342,13206,45499,104040,155725
The Shadow Rising,4.23,"Fantasy, Science Fiction Fantasy, Epic Fantasy, Fiction",Robert Jordan,1007,$99.99,10/15/1993,1011,3600,22237,54933,66011
Tuesdays with Morrie,4.09,"Autobiography, Biography, Nonfiction, Memoir",Mitch Albom,210,$2.99,4/26/2000,13150,34103,120507,224646,290893
The Great Book of Amber,4.3,"Fantasy, Science Fiction Fantasy, Science Fiction, Fiction",Roger Zelazny,1258,$47.99,12/26/1999,248,691,2948,7175,12050
The Book of Occult,3.93,"Mystery, Magic, Fiction, Fantasy, Thriller, Horror, Occult",Simon W. Clark,336,$58.08,12/21/2013,26,10,23,57,105
Bitten,4.05,"Urban Fantasy, Paranormal Romance, Paranormal, Shapeshifters, Romance, Werewolves, Fantasy",Kelley Armstrong,436,$19.96,9/7/2004,2058,4547,15607,27352,34961
Lullaby,3.73,"Horror, Fantasy, Contemporary, Fiction",Chuck Palahniuk,260,$25.50,6/5/2003,1544,6603,24042,30812,19828
The Constitution of the United States of America,4.54,"Nonfiction, Law, Politics, History, Philosophy, Classics",Founding Fathers,30,$4.16,1/1/1970,305,523,1964,3585,16195
People of the Book,4.02,"Mystery, Fiction, Writing, Historical Fiction, Historical, Books About Books",Geraldine Brooks,372,$1.75,10/1/2008,1569,5325,22709,44372,40381
